seed,A_avg_resp,A_avg_wait,A_avg_serv,A_utilization,A_avg_num_job,A_throughput,B_avg_resp,B_avg_wait,B_avg_serv,B_utilization,B_avg_num_job,B_throughput,P_avg_resp,P_avg_wait,P_avg_serv,P_utilization,P_avg_num_job,P_throughput,A1_avg_resp,A1_avg_wait,A1_avg_serv,A2_avg_resp,A2_avg_wait,A2_avg_serv,A3_avg_resp,A3_avg_wait,A3_avg_serv,total_completed,system_avg_response_time,system_avg_service_time,system_utilization,system_avg_wait,system_avg_num_job,system_throughput,job_arrived,completions_A1,completions_A2,completions_A3,completions_B,completions_P,horizon
123456789,1.4718705723437673,1.2396627747768507,0.2322077975669166,0.8341629110003836,5.287418657369857,3.5923122295667027,20.14437827575874,19.34370017580718,0.8006780999515622,0.9587619101340759,24.12163214567531,1.1974374098555676,0.7608506386646585,0.3629720470110368,0.3978785916536217,0.4764347102266938,0.911071018049563,1.1974374098555676,1.2922211054805126,1.09204981711446,0.2001712883660526,2.4963146635941436,2.099847208340364,0.39646745525377936,0.6270759479565595,0.5270912988756401,0.09998464908091938,119768,24.957868584443666,1.8951800843059334,0.9587619101340759,23.06268850013773,30.32012182109473,1.1974374098555676,119768,119768,119768,119768,119768,119768,100020.25910852925
1347220648,1.5576951495968043,1.3240062521161446,0.2336888974806595,0.8390471765616708,5.592819048329739,3.5904451842052607,22.62988958463975,21.832145601027438,0.7977439836123111,0.9547520147298476,27.083792692755523,1.1968150614017536,0.7710897743628622,0.3719161516646791,0.399173622698183,0.47773700375948636,0.9228518556503532,1.1968150614017536,1.3622779114195356,1.1619323672411148,0.20034554417842065,2.6447349834519365,2.244514775483643,0.40022020796829305,0.6660725539186303,0.5655716136233593,0.10050094029527105,119705,27.70214865612834,1.8979842987524727,0.9547520147298476,25.804164357375868,33.59946359673562,1.1968150614017536,119705,119705,119705,119705,119705,119705,100019.63031765085
525379782,1.5001932731149483,1.267208166648037,0.23298510646691126,0.8400698349966427,5.409217501152728,3.605680413378484,23.12080040045304,22.31912498950143,0.8016754109516121,0.9635284423851248,27.788739048515644,1.2018934711261613,0.781040849253207,0.3811187286283328,0.3999221206248742,0.4806637857379655,0.9387278974002619,1.2018934711261613,1.3114141204984016,1.1115140796475909,0.1999000408508105,2.5501757040572244,2.151136467582153,0.399039236475071,0.6389899947892486,0.5389739527144006,0.100016042074848,120213,28.02130234042276,1.90055285097722,0.9635284423851248,26.12074948944554,34.13668444706864,1.2018934711261613,120213,120213,120213,120213,120213,120213,100019.67968705388
428922411,1.5010038052537018,1.267665370108324,0.23333843514537783,0.8391771871760051,5.398202616934936,3.5963950244766534,23.569382561119223,22.76936316315554,0.8000193979636849,0.959061927440468,28.25493672426532,1.1987983414922176,0.7753547386621897,0.3763809257034036,0.3989738129587861,0.47828914527381905,0.929493974776365,1.1987983414922176,1.3109520151118854,1.1115584428681935,0.19939357224369186,2.5520399060304833,2.15144989600632,0.40059001002416295,0.6400194946186271,0.539987771450343,0.10003172316828403,119929,28.47136778983911,1.8990085163586048,0.959061927440468,26.572359273480505,34.58263331597662,1.1987983414922176,119929,119929,119929,119929,119929,119929,100041.01261160991
266922443,1.489266705423986,1.2563680575792227,0.2328986478447634,0.8367265054491794,5.350434352636549,3.5926636465785418,19.199899064984834,18.403166589099,0.7967324758858323,0.9541306007211815,22.99292646291612,1.197554548859514,0.7689275652244927,0.368859877776568,0.40006768744792476,0.47910287895496856,0.9208327034780619,1.197554548859514,1.3102955400941825,1.1102694843846854,0.2000260557094969,2.5265536892066196,2.1276276442801034,0.39892604492651657,0.6309508869711395,0.5312070440728618,0.09974384289827777,119788,24.06776686870472,1.8954961068680471,0.9541306007211815,22.17227076183667,29.26419351903073,1.197554548859514,119788,119788,119788,119788,119788,119788,100027.17631032306
885247427,1.4753929881734738,1.2418360482858177,0.23355693988765586,0.8387074863010439,5.298164743091673,3.591019332178585,23.2683673377049,22.470504998999214,0.7978623387056861,0.9550463609031122,27.852385645977012,1.1970064440595283,0.7732248758761447,0.37305011740880295,0.40017475846734185,0.4790117646353735,0.9255551591308742,1.1970064440595283,1.291503180659239,1.0909572977649336,0.20054588289430542,2.5068279881815516,2.106470848422005,0.40035713975954657,0.6278477956796519,0.5280799986705202,0.0997677970091316,119723,28.09472106069266,1.8987079168359955,0.9550463609031122,26.196013143856664,34.076105548199564,1.1970064440595283,119723,119723,119723,119723,119723,119723,100018.67625204369
2139704398,1.6149588703266098,1.3809287263371584,0.2340301439894515,0.8432162211676263,5.818735538783079,3.603023981413407,27.69897954242813,26.895212483792985,0.8037670586351451,0.9653306625775144,33.26669585068264,1.2010079938044689,0.77534644667712,0.37489492357693616,0.40045152310018384,0.48094548037449575,0.9311972804271115,1.2010079938044689,1.3998194450979775,1.1998184462710664,0.20000099882691108,2.754906958078392,2.353192325833271,0.4017146322451209,0.6901502078033696,0.5897754069070351,0.1003748008963344,120106,32.944307676508146,1.9063090137036833,0.9653306625775144,31.037998662804462,40.016628669892825,1.2010079938044689,120106,120106,120106,120106,120106,120106,100004.33021227164
732889813,1.548292144384777,1.31509727017154,0.23319487421323729,0.8417983387743927,5.589101216216025,3.6098492371004616,25.55636971271996,24.757019443431,0.7993502692889599,0.9618446532562668,30.751547236839826,1.2032830790334872,0.7608729528347408,0.3625030488457679,0.3983699039889729,0.47935176466612595,0.9155455494402881,1.2032830790334872,1.343544434458232,1.1426426462297403,0.2009017882284916,2.639230828162569,2.240780772281852,0.3984500558807177,0.6621011705333979,0.5618683920028806,0.10023277853051724,120340,30.59961604986326,1.8973047959176446,0.9618446532562668,28.702311253945616,37.25619400249614,1.2032830790334872,120340,120340,120340,120340,120340,120340,100009.71682960977
1592870555,1.5876173991700786,1.3541302523704772,0.2334871467996016,0.8396499135991905,5.709277064342467,3.596129059386078,27.854008052129796,27.051983797588864,0.8020242545409325,0.9613942426957013,33.38886925887926,1.1987096864620261,0.7759094524471076,0.3763816964468663,0.3995277560002413,0.47891779112792615,0.9300901764657947,1.1987096864620261,1.3715306107034249,1.171141958161284,0.20038865254214086,2.716083998272156,2.3159509399077813,0.40013305836437435,0.6752375885346008,0.5752978590423078,0.099939729492293,119883,33.01638800564027,1.9020134509399784,0.9613942426957013,31.114374554700294,40.02823649968752,1.1987096864620261,119883,119883,119883,119883,119883,119883,100010.03692047647
262582305,1.542718754041105,1.3099846157136008,0.23273413832750423,0.8404279197870136,5.570922781644859,3.6111071879122463,26.019427673700726,25.217195782617786,0.8022318910829406,0.9656484494206804,31.31964743262117,1.2037023959707487,0.7793569154736034,0.3786953535072271,0.40066156196637637,0.48227728211230986,0.9381137864719489,1.2037023959707487,1.3456216511755885,1.1461989482095847,0.19942270296600406,2.626091661444998,2.227145290530829,0.3989463709141692,0.6564429495027352,0.5566096084003821,0.09983334110235316,120386,31.04824549779042,1.9010958680318295,0.9656484494206804,29.147149629758587,37.82868400073798,1.2037023959707487,120386,120386,120386,120386,120386,120386,100013.09327203956
