seed,A_avg_resp,A_avg_wait,A_avg_serv,A_utilization,A_avg_num_job,A_throughput,B_avg_resp,B_avg_wait,B_avg_serv,B_utilization,B_avg_num_job,B_throughput,P_avg_resp,P_avg_wait,P_avg_serv,P_utilization,P_avg_num_job,P_throughput,A1_avg_resp,A1_avg_wait,A1_avg_serv,A2_avg_resp,A2_avg_wait,A2_avg_serv,A3_avg_resp,A3_avg_wait,A3_avg_serv,total_completed,system_avg_response_time,system_avg_service_time,system_utilization,system_avg_wait,system_avg_num_job,system_throughput,job_arrived,completions_A1,completions_A2,completions_A3,completions_B,completions_P,horizon
123456789,2.2890667230864756,2.0567724031039067,0.23229431998256878,0.8592876918876263,8.467563310223643,,1814.4563464309167,1813.6558022697875,0.8005441611291128,0.9871065645260875,2237.3053949726,,0.7809248008042896,0.38277153266755787,0.39815326813673174,0.49094069227980625,0.9629150204379754,,2.109931021130287,1.9098631995514943,0.2000678215787927,3.806706041534233,3.409889671402736,0.39681637013149695,0.9505631065945679,0.8505643383571504,0.09999876823741755,126132,1821.721699868313,1.8955803892135508,2.33733494869352,1819.8261194790994,2246.735873303262,1.233044487057205,126132,126132,126132,126132,126132,126132,102293.14621164055
300697226,2.444345924462011,2.210504546944147,0.23384137751786432,0.866188963195821,9.054280660145066,,1730.5429412765754,1729.7449070214514,0.7980342551240733,0.9853523663177224,2136.7435937147734,,0.7790365243434707,0.3802301586095802,0.39880636573389044,0.49241595038719777,0.9618954045906553,,2.255514582518771,2.054830071976139,0.20068451054263153,4.056095697200835,3.6556326287707064,0.40046306843012863,1.0214274936666796,0.9210509400858478,0.10037655358083195,126060,1738.2747854156953,1.8983647534115569,2.3439572799007413,1736.3764206622836,2146.759769779509,1.2347243993486545,126060,126060,126060,126060,126060,126060,102095.65799987393
1068865407,2.284976598394375,2.0523039036383737,0.2326726947560012,0.8608148510518517,8.453685518476973,,1834.7816677742555,1833.9809093932092,0.800758381046305,0.9875169741938075,2262.7025626621894,,0.8004256531852209,0.40042552258680625,0.40000013059841466,0.4932910201071406,0.9871066451627475,,2.0806596862897995,1.8810259456435685,0.199633740646231,3.8103744493819125,3.412047336703832,0.3983271126780802,0.9638956595111587,0.8638384285674671,0.10005723094369173,125683,1842.0365977000372,1.8987765959127234,2.3416228453528,1840.1378211041244,2272.143354825829,1.2332271476240757,125683,125683,125683,125683,125683,125683,101913.90956819248
1123496904,2.0861764524696915,1.8526540931942364,0.23352235927545495,0.8648127357778346,7.725821076719664,,1752.5016128729571,1751.7012427057277,0.800370167229493,0.988014332766369,2163.3698788502975,,0.7863828591813206,0.3868699239856462,0.3995129351956744,0.4931774349676718,0.9707477461365226,,1.8610344405036316,1.6614111626146923,0.1996232778889393,3.518076530930329,3.117174115295589,0.40090241563473994,0.8794183859751181,0.7793770016724336,0.10004138430268447,126089,1759.159655165562,1.9004501802515323,2.3460045035118755,1757.2592049853106,2172.0664476731536,1.2344467263021714,126089,126089,126089,126089,126089,126089,102142.11542178417
1126197911,2.201092201250547,1.9681202570938638,0.23297194415668293,0.8673419827696949,8.194547549500708,,1632.8923880782615,1632.097422242184,0.7949658360773086,0.9865383104295454,2026.3900969592562,,0.794578691250696,0.39424370688948274,0.4003349843612133,0.4968085182457353,0.9860578706599289,,1.966250018634972,1.7662947245884024,0.1999552940465696,3.718857247287062,3.319615427359164,0.3992418199278979,0.9181693378296525,0.8184506193340711,0.09971871849558131,125923,1639.8959996663743,1.8942166529085709,2.350688811444976,1638.0017830134657,2035.570702379417,1.240982021689806,125923,125923,125923,125923,125923,125923,101470.44662946416
2098441207,2.231643931667659,1.997906607306111,0.23373732436154815,0.8671548609241789,8.279297662380152,,1780.437245976839,1779.6357654443607,0.8014805324781453,0.9911521285313643,2201.7804482538486,,0.7920491022555868,0.3922802106008511,0.3997688916547357,0.49437481239760495,0.9794887358956376,,2.0116237040763276,1.8115068436094113,0.2001168604669161,3.754986813460112,3.353802084418746,0.4011847290413658,0.9283212774668292,0.828410893890471,0.09991038357635827,125884,1787.5319466634967,1.9024613972175255,2.3526818018531483,1785.629485266279,2211.0392346521244,1.2366515322172107,125884,125884,125884,125884,125884,125884,101794.2376817346
139629432,2.6264450667337713,2.3927356383063163,0.2337094284274547,0.8632910954860163,9.701733704758325,,1970.6843123842614,1969.8809709400996,0.8033414441619982,0.9891449681004252,2426.480652125117,,0.7831894892067237,0.382959810754876,0.4002296784518477,0.4927981438055422,0.9643321005628996,,2.4656252362643296,2.2652839060669954,0.2003413301973339,4.317807473447303,3.917748578745634,0.40005889470166855,1.095902490489457,0.995174430106078,0.10072806038337899,125792,1978.9638772629146,1.9046994078962098,2.3452342073919836,1977.0591778550183,2437.146717930438,1.2312883585039573,125792,125792,125792,125792,125792,125792,102162.9085755672
121455460,2.301881830641237,2.06882184448846,0.23305998615277695,0.8645854172301014,8.539318549751961,,1867.8442752067301,1867.0447210602738,0.7995541464563111,0.9887051923459643,2309.7214135846993,,0.7881935083794812,0.39059588240287657,0.39759762597660464,0.4916575556637148,0.9746569607099863,,2.1255898687707613,1.9243459917623391,0.20124387700842197,3.826967522778631,3.428690570155429,0.39827695262320184,0.9530881003744729,0.8534289715477635,0.09965912882670937,126195,1875.1475183246305,1.8963317308912464,2.34494816523978,1873.2511865937392,2319.235389095161,1.236570652191582,126195,126195,126195,126195,126195,126195,102052.39771487686
533793398,2.5697380933912504,2.336506078959287,0.23323201443196326,0.8651434838610856,9.53210549650157,,1882.1184759229745,1881.3160245489462,0.8024513740281177,0.992195945664681,2327.156986095371,,0.7939290856151671,0.39302314782882364,0.4009059377863435,0.4957026169296195,0.9816585096470084,,2.3677993804644313,2.1680677356002023,0.19973164486422904,4.283188494351476,3.8829753767096884,0.40021311764178813,1.058226405357827,0.9584751245679489,0.09975128078987805,126044,1890.2285961409345,1.9030533551103508,2.353042046455386,1888.3255427858242,2337.67075010152,1.2364561614295582,126044,126044,126044,126044,126044,126044,101939.72413406978
657457764,2.0395708777866983,1.8067664404341803,0.23280443735251793,0.8645989300358917,7.574644275343196,,1912.3858208150696,1911.583017659845,0.8028031552244446,0.9938280629154075,2367.4330170216813,,0.8010093259197294,0.39931417754503773,0.4016951483746916,0.4972774566140385,0.9916073966269103,,1.811838220809566,1.6127703018315953,0.19906791897797071,3.4415003205472523,3.042173959417025,0.3993263611302272,0.8653740920031173,0.7653550600537684,0.10001903194934904,126331,1918.906228596804,1.90291161565669,2.3557044495653376,1917.0033169811475,2375.999268693651,1.237947380310877,126331,126331,126331,126331,126331,126331,102048.76395333976
