seed,A_avg_resp,A_avg_wait,A_avg_serv,A_utilization,A_avg_num_job,B_avg_resp,B_avg_wait,B_avg_serv,B_utilization,B_avg_num_job,A1_avg_resp,A1_avg_wait,A1_avg_serv,A2_avg_resp,A2_avg_wait,A2_avg_serv,A3_avg_resp,A3_avg_wait,A3_avg_serv,total_completed,system_avg_response_time,system_avg_service_time,system_utilization,system_avg_wait,system_throughput,job_arrived,completions_A1,completions_A2,completions_A3,completions_B,completions_P,horizon
123456789,1.4703095304026115,1.2369761970693145,0.23333333333329706,0.8399144401900105,5.292575169147166,18.44172041508091,17.64172041508088,0.8000000000000296,0.9599022173601967,22.127810397965394,1.2547861286725441,1.054786128672716,0.19999999999982818,2.525412031327758,2.125412031327809,0.3999999999999488,0.6307304312071593,0.5307304312070533,0.10000000000010599,120079,23.25264900628961,1.900000000000792,0.9599022173601967,21.352649006288818,1.1998777717002016,120079,120079,120079,120079,120079,120079,100076.02676883545
1261112113,1.4882001434310292,1.2548668100977327,0.2333333333332966,0.841952995553337,5.3699767231922495,21.72975615550545,20.92975615550542,0.8000000000000285,0.9622319949182853,26.136333268248936,1.2713834082731559,1.071383408273316,0.19999999999983972,2.554130002996124,2.1541300029961827,0.39999999999994107,0.6390870190236458,0.5390870190235393,0.1000000000001066,120287,26.594356585799407,1.9000000000007904,0.9622319949182853,24.694356585798616,1.2027899936478137,120287,120287,120287,120287,120287,120287,100006.65173077668
93071921,1.386771237670169,1.1534379043368719,0.23333333333329695,0.83648141014566,4.971464401868426,19.667028332114697,18.867028332114657,0.800000000000038,0.9559787544523773,23.50157656089216,1.1948341214492928,0.9948341214494687,0.19999999999982418,2.372447822733944,1.9724478227340014,0.39999999999994224,0.5930317688269482,0.49303176882683014,0.10000000000011808,119506,24.227342045126072,1.9000000000007973,0.9559787544523773,22.327342045125274,1.1949734430654149,119506,119506,119506,119506,119506,119506,100007.2434190975
1072515376,1.4810633132000046,1.2477299798667032,0.2333333333333013,0.841677315944585,5.342474546564336,18.337137921782574,17.53713792178254,0.8000000000000319,0.9619169325082675,22.048504325876774,1.2700593022055804,1.0700593022057487,0.19999999999983176,2.5379751453701167,2.1379751453701723,0.3999999999999442,0.6351554920241855,0.5351554920240676,0.10000000000011795,120249,23.180327861383464,1.900000000000808,0.9619169325082675,21.280327861382656,1.2023961656352864,120249,120249,120249,120249,120249,120249,100007.80394743392
2051958831,1.426186658672043,1.1928533253387463,0.23333333333329676,0.8376796921754159,5.120089719519726,19.483457808424042,18.683457808424006,0.8000000000000378,0.957348219629242,23.315567056394165,1.2206446365153159,1.0206446365154962,0.19999999999981968,2.446006699232599,2.046006699232646,0.3999999999999527,0.6119086402680427,0.5119086402679306,0.1000000000001121,119687,24.16201778444104,1.9000000000007973,0.957348219629242,22.262017784440243,1.1966852745364962,119687,119687,119687,119687,119687,119687,100015.43642822675
883918639,1.4089720367937264,1.1756387034604279,0.23333333333329848,0.8347096819990378,5.040354003333444,17.306537374320122,16.506537374320082,0.8000000000000412,0.9539539222848064,20.63704901175053,1.210151013473609,1.0101510134737826,0.19999999999982648,2.4139275184001194,2.0139275184001857,0.3999999999999339,0.6028375785072126,0.5028375785070839,0.10000000000012876,119259,21.933453484702166,1.9000000000008037,0.9539539222848064,20.03345348470136,1.1924424028559464,119259,119259,119259,119259,119259,119259,100012.37771683563
1863362094,1.4506875997945592,1.217354266461255,0.23333333333330408,0.8393799166190594,5.218620156668628,19.909448049221652,19.109448049221616,0.8000000000000356,0.959291333279088,23.87370120498466,1.2420057702975387,1.0420057702976924,0.1999999999998464,2.488425212588892,2.0884252125889655,0.3999999999999266,0.6216318164969193,0.5216318164967931,0.10000000000012618,119932,24.661510848606206,1.9000000000008181,0.959291333279088,22.761510848605386,1.1991141665988065,119932,119932,119932,119932,119932,119932,100017.16545487718
695321902,1.432624621135075,1.1992912878017712,0.2333333333333038,0.840008637629822,5.157501669577571,18.296841105729143,17.496841105729107,0.8000000000000338,0.9600098715771015,21.956435100221153,1.2303648749913434,1.0303648749915029,0.19999999999984072,2.454214426161456,2.0542144261615065,0.3999999999999492,0.6132945622522024,0.5132945622520791,0.10000000000012321,120055,22.994714969135238,1.9000000000008161,0.9600098715771015,21.094714969134422,1.2000123394713262,120055,120055,120055,120055,120055,120055,100044.80458333543
1674765357,1.4775005357388853,1.2441672024055832,0.23333333333330195,0.8416130327550546,5.329215886202522,22.3667513180688,21.56675131806876,0.8000000000000381,0.9618434660059519,26.89164201382933,1.2652346978577018,1.0652346978578577,0.19999999999984397,2.5345304995718254,2.1345304995718846,0.39999999999994107,0.6327364097871869,0.5327364097870572,0.1000000000001297,120240,27.199252925286327,1.9000000000008157,0.9618434660059519,25.29925292528551,1.2023043325073826,120240,120240,120240,120240,120240,120240,100007.95701138479
506725165,1.4450525234852396,1.2117191901519395,0.2333333333333,0.8417737595159385,5.2131741231100195,21.084789840676777,20.284789840676748,0.8000000000000302,0.9620271537326749,25.355175446846417,1.238178091186025,1.0381780911861829,0.19999999999984217,2.4773846157826243,2.0773846157826874,0.3999999999999365,0.6195948634867163,0.5195948634866,0.10000000000011638,120255,25.819947411133366,1.9000000000008024,0.9620271537326749,23.919947411132565,1.2025339421657981,120255,120255,120255,120255,120255,120255,100001.33533313604
