seed      , A_avg_resp        , A_avg_wait        , A_avg_serv         , A_utilization     , A_avg_num_job    , B_avg_resp        , B_avg_wait        , B_avg_serv        , B_utilization     , B_avg_num_job     , A1_avg_resp       , A1_avg_wait       , A1_avg_serv        , A2_avg_resp       , A2_avg_wait       , A2_avg_serv        , A3_avg_resp       , A3_avg_wait       , A3_avg_serv        , total_completed, system_avg_response_time, system_avg_service_time, system_utilization, system_avg_wait   , system_throughput , job_arrived, completions_A1, completions_A2, completions_A3, completions_B, completions_P, horizon
 123456789, 2.43004640397755  , 2.1800464039775744, 0.24999999999997558, 0.8976160526778715, 8.724994643850392, 16.48210676847086 , 15.682106768470835, 0.8000000000000264, 0.9574571228565214, 19.726138156441984, 1.946750449516344 , 1.7467504495164266, 0.19999999999991752, 3.8872174409231794, 3.4872174409231733, 0.4000000000000064 , 1.4561713214923049, 1.3061713214922948, 0.1500000000000101 ,           95768,       24.472245980402274,      2.249999999998716 , 0.9574571228565214, 22.222245980403557, 1.1968214035706122,       95768,          95768,          95768,          95768,         95768,         95768, 80018.62242293172
1695116723, 2.609542179589223 , 2.3595421795892446, 0.24999999999997777, 0.9034087482683004, 9.429932936064969, 21.660045792876577, 20.86004579287656 , 0.8000000000000199, 0.9636359981529635, 26.09049980957125 , 2.085169282405363 , 1.8851692824054402, 0.19999999999992285, 4.176222375656781 , 3.7762223756567703, 0.4000000000000114 , 1.5672348807051657, 1.4172348807051602, 0.15000000000000563,           96379,       30.188672331642998,      2.249999999998706 , 0.9636359981529635, 27.93867233164429 , 1.2045449976911744,       96379,          96379,          96379,          96379,         96379,         96379, 80012.7850638503
 212368765, 2.3861390678688594, 2.1361390678688874, 0.2499999999999724 , 0.8966631197294131, 8.558251602815046, 20.804664440965563, 20.004664440965538, 0.8000000000000278, 0.9564406610448462, 24.873033763415773, 1.9141791904313479, 1.714179190431441 , 0.1999999999999068 , 3.8136949410210033, 3.4136949410209954, 0.40000000000000796, 1.4305430721529986, 1.280543072152994 , 0.15000000000000463,           95655,       28.663081644570905,      2.2499999999987104, 0.9564406610448462, 26.413081644572195, 1.1955508263060162,       95655,          95655,          95655,          95655,         95655,         95655, 80009.14548781878
 877104454, 2.560358212945548 , 2.310358212945573 , 0.24999999999997527, 0.9001270510278622, 9.218590751175487, 18.12943632273473 , 17.329436322734697, 0.8000000000000306, 0.9601355210965181, 21.75839473864298 , 2.0486908536745916, 1.8486908536746758, 0.19999999999991577, 4.097018497929742 , 3.697018497929745 , 0.3999999999999978 , 1.5353652872316497, 1.3853652872316393, 0.1500000000000102 ,           96060,       26.510510961570134,      2.249999999998715 , 0.9601355210965181, 24.26051096157142 , 1.2001694013706017,       96060,          96060,          96060,          96060,         96060,         96060, 80038.70111194205
1541840143, 2.4153478601112135, 2.165347860111233 , 0.24999999999998054, 0.8973914758613966, 8.670050323616145, 19.433734839529922, 18.633734839529897, 0.8000000000000239, 0.9572175742522593, 23.25289065219487 , 1.929567965632096 , 1.7295679656321847, 0.19999999999991133, 3.8671739277208257, 3.467173927720807 , 0.4000000000000188 , 1.4493016869797823, 1.299301686979765 , 0.15000000000001737,           95750,       27.37977841986233 ,      2.249999999998729 , 0.9572175742522593, 25.1297784198636  , 1.1965219678152885,       95750,          95750,          95750,          95750,         95750,         95750, 80023.60389155954
  59092185, 2.387733235203324 , 2.137733235203353 , 0.2499999999999707 , 0.8965803039609594, 8.563178359186129, 18.28851681273554 , 17.48851681273552 , 0.8000000000000218, 0.9563523242251616, 21.862831950612627, 1.9124055599799163, 1.7124055599800019, 0.1999999999999145 , 3.818956045884652 , 3.418956045884657 , 0.39999999999999475, 1.431838099744697 , 1.2818380997447032, 0.14999999999999375,           95646,       26.15171651834428 ,      2.2499999999986993, 0.9563523242251616, 23.90171651834558 , 1.1954404052814194,       95646,          95646,          95646,          95646,         95646,         95646, 80009.00720557786
 723827874, 2.5863075408106773, 2.336307540810703 , 0.2499999999999742 , 0.9002883661249603, 9.313690360853396, 21.162158796949566, 20.362158796949547, 0.8000000000000212, 0.9603075905334157, 25.40272715597953 , 2.0618244729124675, 1.8618244729125464, 0.19999999999992116, 4.14228034450917  , 3.7422803445091515, 0.40000000000001845, 1.5548178050099843, 1.4048178050099807, 0.15000000000000388,           96038,       29.62108141938036 ,      2.2499999999987024, 0.9603075905334157, 27.371081419381657, 1.2003844881667376,       96038,          96038,          96038,          96038,         96038,         96038, 80006.03218946293
1388563563, 2.4752504383653715, 2.225250438365399 , 0.2499999999999726 , 0.8998722366089247, 8.909636592557247, 18.67463604735456 , 17.874636047354535, 0.8000000000000251, 0.9598637190496548, 22.406382010389915, 1.9850720306550718, 1.785072030655153 , 0.19999999999991866, 3.956712650579531 , 3.5567126505795246, 0.400000000000007  , 1.483966633860867 , 1.333966633860865 , 0.15000000000000194,           96008,       26.80038736244943 ,      2.249999999998702 , 0.9598637190496548, 24.550387362450728, 1.199829648812031 ,       96008,          96008,          96008,          96008,         96008,         96008, 80018.02597148599
2053299252, 2.583261014452005 , 2.333261014452029 , 0.24999999999997588, 0.9031468381575215, 9.33225606935258 , 22.454947117821167, 21.65494711782114 , 0.8000000000000261, 0.9633566273681473, 27.04015265394199 , 2.068579477665597 , 1.86857947766568  , 0.19999999999991663, 4.131663120194419 , 3.73166312019441  , 0.400000000000009  , 1.5495404454953086, 1.3995404454953004, 0.1500000000000081 ,           96351,       30.904730161175937,      2.2499999999987073, 0.9633566273681473, 28.65473016117723 , 1.2041957842101447,       96351,          96351,          96351,          96351,         96351,         96351, 80012.73651958388
 570551294, 2.48139927284999  , 2.231399272850011 , 0.24999999999997907, 0.9019993914736356, 8.952882536456   , 21.254534101591396, 20.45453410159138 , 0.8000000000000183, 0.9621326842386471, 25.56210243425691 , 1.9823583826191287, 1.7823583826192066, 0.19999999999992193, 3.9710295704774556, 3.571029570477446 , 0.4000000000000094 , 1.490809865452371 , 1.3408098654523664, 0.15000000000000463,           96227,       29.398731920140122,      2.249999999998711 , 0.9621326842386471, 27.14873192014141 , 1.2026658552982814,       96227,          96227,          96227,          96227,         96227,         96227, 80011.41761535591
