seed      , A_avg_resp        , A_avg_wait        , A_avg_serv         , A_utilization     , A_avg_num_job     , B_avg_resp        , B_avg_wait        , B_avg_serv        , B_utilization     , B_avg_num_job      , A1_avg_resp      , A1_avg_wait      , A1_avg_serv        , A2_avg_resp       , A2_avg_wait       , A2_avg_serv        , A3_avg_resp       , A3_avg_wait       , A3_avg_serv        , total_completed, system_avg_response_time, system_avg_service_time, system_utilization, system_avg_wait   , job_arrived, completions_A1, completions_A2, completions_A3, completions_B, completions_P, horizon
 123456789,  86.77785590601866,  86.5445225726854 , 0.233333333333268  , 0.8892467048573319, 330.71538179585593, 5.070662352464119 , 4.270662352463766 , 0.8000000000003531, 0.582826474665585 ,  6.439447162883409 , 74.80738119309747, 74.60738119309761, 0.19999999999986665, 148.57009060257855, 148.17009060257848, 0.40000000000005326, 36.95609592240129 , 36.8560959224014  , 0.09999999999988789,          102143,       265.80259185882124,      1.8997415388239483, 2.4133412906860943, 263.9028503199973 ,      102143,         102143,         102143,         102143,        102110,        102143, 80405.24593391802
 238236518,  86.96445045841   ,  86.73111712507672, 0.23333333333327003, 0.8906841086119193, 331.96223158926574, 6.564839759470048 , 5.764839759469697 , 0.8000000000003507, 0.5837485494380041,  8.351346740123464 , 75.0750072981328 , 74.87500729813293, 0.19999999999987436, 148.9026620718021 , 148.50266207180206, 0.40000000000003155, 36.915682005321656, 36.81568200532176 , 0.09999999999989656,          102441,       267.8567812843996 ,      1.899828193790527 , 2.4173525447179536, 265.95695309060903,      102441,         102441,         102441,         102441,        102419,        102441, 80509.68834701058
1163889859,  77.32152584541444,  77.08819251208118, 0.23333333333326436, 0.885966179097369 , 293.58967206540234, 5.513888637903305 , 4.713888637902963 , 0.8000000000003415, 0.5802701381955089,  6.9777138186872065, 66.70290982793972, 66.50290982793986, 0.1999999999998612 , 132.46431240723825, 132.06431240723822, 0.40000000000004227, 32.79735530113365 , 32.69735530113377 , 0.09999999999988422,          101890,       237.87765443276385,      1.899882225930826 , 2.4046162806334794, 235.977772206833  ,      101890,         101890,         101890,         101890,        101875,        101890, 80503.0730096757
  26139321,  94.59807340948616,  94.3647400761529 , 0.2333333333332642 , 0.8890542453661197, 360.44065186364753, 6.292715965786278 , 5.49271596578593  , 0.8000000000003477, 0.5825522536313705,  7.990438434444253 , 81.61691380197674, 81.41691380197686, 0.1999999999998705 , 161.9432364276317 , 161.54323642763163, 0.40000000000006386, 40.23406999887036 , 40.13406999887049 , 0.09999999999987767,          102209,       290.485520149991  ,      1.8998199767152886, 2.4129185939008435, 288.5857001732757 ,      102209,         102209,         102209,         102209,        102186,        102209, 80474.61712588242
1795688676,  70.15253247944865,  69.91919914611539, 0.2333333333332656 , 0.8860404616971159, 266.39135257427415, 5.922964827730831 , 5.122964827730478 , 0.8000000000003534, 0.5807042860620418,  7.495359701825933 , 60.58396665866081, 60.38396665866094, 0.1999999999998702 , 120.15139406926058, 119.75139406926051, 0.40000000000006664, 29.72223671048405 , 29.62223671048417 , 0.09999999999988098,          102010,       216.77916876391242,      1.8998117831594319, 2.4047287278409892, 214.879356980753  ,      102010,         102010,         102010,         102010,        101986,        102010, 80591.12770449196
 321456388, 110.67114175212699, 110.43780841879372, 0.23333333333326486, 0.8907829435256637, 422.5027089142911 , 4.667632543564469 , 3.867632543564121 , 0.8000000000003483, 0.5837325940004491,  5.938799055965877 , 95.07992094688372, 94.87992094688386, 0.199999999999862  , 189.90665175427557, 189.50665175427554, 0.40000000000005087, 47.02685255524782 , 46.92685255524794 , 0.09999999999988148,          102720,       337.0802853140307 ,      1.8998676012470213, 2.4176709344976572, 335.18041771278365,      102720,         102720,         102720,         102720,        102703,        102720, 80720.00089650047
 218240359, 111.11731158331158, 110.88397824997831, 0.23333333333326706, 0.8887303354377735, 423.2285382703206 , 8.857201028785758 , 8.057201028785405 , 0.8000000000003511, 0.5825332313409514, 11.243469416706217 , 96.07649539067639, 95.87649539067652, 0.1999999999998651 , 190.00664847690464, 189.6066484769046 , 0.4000000000000414 , 47.26879088238943 , 47.168790882389544, 0.09999999999989242,          102010,       342.60774655005287,      1.8998745221065958, 2.4121087447456486, 340.7078720279463 ,      102010,         102010,         102010,         102010,        101994,        102010, 80347.2067427583
 489033782,  84.55602930576214,  84.32269597242887, 0.2333333333332662 , 0.8841512734935778, 320.40137568116313, 3.152973238082996 , 2.3529732380826407, 0.8000000000003552, 0.5794219860984705,  3.9816913206461026, 72.63136316992868, 72.43136316992882, 0.19999999999986387, 144.98724254259025, 144.5872425425902 , 0.40000000000004854, 36.049482204788   , 35.94948220478811 , 0.0999999999998877 ,          101589,       257.2204714607032 ,      1.8998503775024198, 2.3996501867378606, 255.3206210832008 ,      101589,         101589,         101589,         101589,        101570,        101589, 80430.01478580812
1122920324,  82.28902239796692,  82.05568906463364, 0.2333333333332676 , 0.8879842203911735, 313.16294314641874, 3.0122898426420686, 2.212289842641713 , 0.8000000000003556, 0.5820104202045909,  3.8206375446841196, 70.64545302786615, 70.44545302786628, 0.19999999999987292, 141.12823128817328, 140.72823128817322, 0.40000000000004615, 35.09338287790159 , 34.99338287790171 , 0.09999999999988414,          102005,       250.27888454365123,      1.8998745159560264, 2.4100837012753504, 248.37901002769522,      102005,         102005,         102005,         102005,        101989,        102005, 80410.7757326198
 861739950,  87.9568404982334 ,  87.72350716490014, 0.23333333333326614, 0.8889565368932962, 335.09917853746333, 4.89330950466425  , 4.093309504663905 , 0.8000000000003448, 0.5829991775553827,  6.213042355513114 , 75.85410650765716, 75.65410650765729, 0.1999999999998643 , 150.55495678090944, 150.15495678090937, 0.40000000000004393, 37.46145820616523 , 37.361458206165345, 0.09999999999988426,          102058,       269.16292001854464,      1.8998510650815514, 2.4126928906120324, 267.26306895346306,      102058,         102058,         102058,         102058,        102039,        102058, 80364.55893518518
